Employee_ID,Employee_Name,Department,Designation,Employment_Status,Bank_Account_Number,Month,Present_Days,Overtime_Hours,Basic_Salary,HRA,Gross_Salary,Deductions,Net_Salary,Paid_Amount
E1000,Employee_1,Sales,Manager,Active,17856844830,2024-07,17,29,30329,12131,42460,2931,39529,39529
E1001,Employee_2,Finance,Executive,Active,29234994367,2024-04,5,22,19264,7705,26969,3015,23954,23954
E1002,Employee_3,HR,Manager,Inactive,34827299081,2024-11,8,18,18133,7253,25386,1595,23791,23791
E1003,Employee_4,Operations,Analyst,Active,41368825983,2024-08,8,11,26612,10644,37256,1309,35947,35947
E1004,Employee_5,Finance,Manager,Active,67173272471,2024-05,13,14,32849,13139,45988,3544,42444,42444
E1005,Employee_6,HR,Manager,Active,18603424683,2024-07,7,30,35493,14197,49690,2044,47646,47646
E1006,Employee_7,IT,Analyst,Active,75172879163,2024-10,18,42,33595,13438,47033,2316,44717,44717
E1007,Employee_8,Sales,Executive,Active,80616763456,2024-03,2,36,36923,14769,51692,3020,48672,48672
E1008,Employee_9,HR,Manager,Active,49865538740,2024-07,17,36,29158,11663,40821,1492,39329,39329
E1009,Employee_10,IT,Manager,Inactive,45178900245,2024-11,4,14,24735,9894,34629,1781,32848,32848
E1010,Employee_11,HR,Analyst,Active,63030229080,2024-11,13,28,16689,6675,23364,774,22590,22590
E1011,Employee_12,Sales,Executive,Active,76774876689,2024-08,3,49,24763,9905,34668,2273,32395,32395
E1012,Employee_13,Sales,Manager,Active,91569043403,2024-05,6,42,22727,9090,31817,3591,28226,28226
E1013,Employee_14,Finance,Analyst,Active,42917495696,2024-04,19,25,22764,9105,31869,3037,28832,28832
E1014,Employee_15,Operations,Manager,Inactive,70985297001,2024-08,24,43,35925,14370,50295,2256,48039,48039
E1015,Employee_16,HR,Officer,Active,70322650062,2024-08,11,1,34925,13970,48895,2873,46022,46022
E1016,Employee_17,HR,Analyst,Active,38185959948,2024-03,1,19,28003,11201,39204,3076,36128,36128
E1017,Employee_18,IT,Executive,Active,82005815327,2024-06,10,14,15818,6327,22145,1391,20754,20754
E1018,Employee_19,Sales,Executive,Active,48398808103,2024-05,13,51,29439,11775,41214,588,40626,40626
E1019,Employee_20,HR,Executive,Active,91672338649,2024-02,21,3,30077,12030,42107,3033,39074,39074
E1020,Employee_21,Sales,Executive,Active,85036803916,2024-08,22,21,19521,7808,27329,1207,26122,26122
E1021,Employee_22,HR,Manager,Active,77242244296,2024-12,15,49,16124,6449,22573,2897,19676,19676
E1022,Employee_23,Finance,Manager,Active,60195450917,2024-06,19,37,20660,8264,28924,3655,25269,25269
E1023,Employee_24,Operations,Executive,Active,90135854523,2024-02,5,22,20641,8256,28897,886,28011,28011
E1024,Employee_25,HR,Executive,Active,36272365304,2024-12,22,58,32513,13005,45518,2634,42884,42884
E1025,Employee_26,Sales,Executive,Active,22024696879,2024-05,3,25,16702,6680,23382,2854,20528,20528
E1026,Employee_27,Finance,Manager,Active,83543723919,2024-01,14,50,33385,13354,46739,2373,44366,44366
E1027,Employee_28,HR,Executive,Active,24672232634,2024-12,23,10,38296,15318,53614,1677,51937,51937
